date,case_shiller,cs_ret,work_over55,housing_starts,monthly_supply,confidence,pop_growth,unemploy,10yr_treas,income,cpi,gini_ratio
2/1/1987,64.154,0.006274116,29.7,1784,6.2,90.2,0.000603845,6,7.25,25091,111.8,0.425166667
3/1/1987,64.489,0.00522181,29.9,1726,6,90.8,0.000615881,5.7,7.22,25188,112.2,0.42525
4/1/1987,64.994,0.007830793,29.8,1614,6,92.8,0.000714643,5,7.92,25285,112.7,0.425333333
5/1/1987,65.569,0.00884697,30.1,1628,6.7,91.1,0.000705877,4.8,8.56,25382,113,0.425416667
6/1/1987,66.239,0.010218243,30.1,1594,6.9,91.5,0.000763129,4.7,8.41,25479,113.5,0.4255
7/1/1987,66.803,0.008514621,30,1575,6.7,93.7,0.000807888,4.9,8.44,25576,113.8,0.425583333
8/1/1987,67.285,0.007215245,30,1605,6.8,94.4,0.000856658,4.9,8.75,25673,114.3,0.425666667
9/1/1987,67.638,0.00524634,30,1695,6.8,93.6,0.00086827,4.6,9.37,25770,114.7,0.42575
10/1/1987,67.917,0.0041249,30.2,1515,6.8,89.3,0.000916854,4.6,9.55,25867,115,0.425833333
11/1/1987,68.107,0.002797532,30.2,1656,7,83.1,0.000792784,4.6,8.86,25964,115.4,0.425916667
12/1/1987,68.358,0.003685377,30.2,1400,7.6,86.8,0.000697754,4.6,9.01,26061,115.6,0.426
1/1/1988,68.596,0.00348167,30.1,1271,7.5,90.8,0.00070547,5.2,8.7,26158,116,0.426
2/1/1988,68.928,0.004839932,30.2,1473,6.6,91.6,0.000614802,5.2,8.22,26255,116.2,0.426
3/1/1988,69.336,0.00591922,29.9,1532,6.6,94.6,0.000606232,4.8,8.33,26352,116.5,0.426
4/1/1988,69.799,0.006677628,30.1,1573,6.4,91.2,0.000679551,4.3,8.69,26449,117.2,0.426
5/1/1988,70.418,0.008868322,29.8,1421,6.6,94.8,0.000674998,4.2,9.08,26546,117.5,0.426
6/1/1988,71.077,0.009358403,29.9,1478,6.2,94.7,0.000801275,4.2,8.95,26643,118,0.426
7/1/1988,71.695,0.008694796,29.7,1467,6.6,93.4,0.000878246,4.3,9.02,26740,118.5,0.426
8/1/1988,72.195,0.006973987,30,1493,6.6,97.4,0.000893801,4.5,9.26,26837,119,0.426
9/1/1988,72.584,0.005388185,30,1492,6.5,97.3,0.000913391,4.2,9.01,26934,119.5,0.426
10/1/1988,72.832,0.003416731,30.1,1522,6,94.1,0.000932927,4.1,8.8,27031,119.9,0.426
11/1/1988,73.075,0.003336446,30.3,1569,7.2,93,0.000777393,4.3,8.93,27128,120.3,0.426
12/1/1988,73.287,0.002901129,30.2,1563,6.8,91.9,0.000699517,4.2,9.11,27225,120.7,0.426
1/1/1989,73.624,0.00459836,30.5,1621,6.2,97.9,0.000682771,4.8,9.1,27365.08333,121.2,0.426416667
2/1/1989,73.973,0.004740302,30.3,1425,7.5,95.4,0.000625447,4.6,9.14,27505.16667,121.6,0.426833333
3/1/1989,74.415,0.005975153,30.4,1422,8.2,94.3,0.000616938,4.4,9.36,27645.25,122.2,0.42725
4/1/1989,74.873,0.006154673,30.4,1339,7.4,91.5,0.000774754,4.2,9.18,27785.33333,123.1,0.427666667
5/1/1989,75.302,0.005729702,30.4,1331,7.1,90.7,0.000749835,4,8.89,27925.41667,123.7,0.428083333
6/1/1989,75.703,0.005325224,30.3,1397,7.2,90.6,0.000842426,3.9,8.32,28065.5,124.1,0.4285
7/1/1989,76.049,0.004570493,30.3,1427,6.1,92,0.000922651,4.2,8.03,28205.58333,124.5,0.428916667
8/1/1989,76.28,0.003037515,30.1,1332,6.4,89.6,0.00093393,4.1,8.07,28345.66667,124.5,0.429333333
9/1/1989,76.428,0.00194022,30.1,1279,7.1,95.8,0.000981529,4.1,8.2,28485.75,124.8,0.42975
10/1/1989,76.493,0.000850474,30.2,1410,6.9,93.9,0.001012848,4,8.02,28625.83333,125.4,0.430166667
11/1/1989,76.524,0.000405266,30.2,1351,6.6,90.9,0.00086267,4.1,7.88,28765.91667,125.9,0.430583333
12/1/1989,76.499,-0.000326695,30.4,1251,7,90.5,0.000797483,4.2,7.84,28906,126.3,0.431
1/1/1990,76.527,0.000366018,30.3,1551,7,93,0.000724407,4.9,8.16,28992.41667,127.5,0.43075
2/1/1990,76.587,0.000784037,30.2,1437,7.6,89.5,0.000675624,4.8,8.48,29078.83333,128,0.4305
3/1/1990,76.79,0.00265058,30.1,1289,7.8,91.3,0.000743488,4.5,8.57,29165.25,128.6,0.43025
4/1/1990,77.041,0.003268655,30,1248,8.3,93.9,0.001180666,4.3,8.77,29251.66667,128.9,0.43
5/1/1990,77.299,0.003348866,30.2,1212,8.2,90.6,0.001038884,4.1,8.79,29338.08333,129.1,0.42975
6/1/1990,77.504,0.002652039,29.9,1177,7.9,88.3,0.00113798,4.1,8.5,29424.5,129.9,0.4295
7/1/1990,77.556,0.000670933,29.9,1171,7.8,88.2,0.001132684,4.5,8.48,29510.91667,130.5,0.42925
8/1/1990,77.473,-0.001070194,30.1,1115,8.2,76.4,0.001227352,4.6,8.72,29597.33333,131.6,0.429
9/1/1990,77.222,-0.003239838,30.1,1110,8.4,72.8,0.001245812,4.5,8.89,29683.75,132.5,0.42875
10/1/1990,76.906,-0.004092098,30,1014,8.7,63.9,0.001220334,4.4,8.74,29770.16667,133.4,0.4285
11/1/1990,76.375,-0.006904533,30,1145,8.2,66,0.001151133,4.9,8.42,29856.58333,133.7,0.42825
